clip_id,category,sample_id,level_db
clip_0186,StreetTraffic,02,-25
clip_0187,StreetTraffic,02,-20
clip_0188,StreetTraffic,02,-15
clip_0189,StreetTraffic,02,-10
clip_0190,StreetTraffic,03,-40
clip_0191,StreetTraffic,03,-35
clip_0192,StreetTraffic,03,-30
clip_0193,StreetTraffic,03,-25
clip_0194,StreetTraffic,03,-20
clip_0195,StreetTraffic,03,-15
clip_0196,StreetTraffic,03,-10
clip_0197,StreetTraffic,04,-40
clip_0198,StreetTraffic,04,-35
clip_0199,StreetTraffic,04,-30
clip_0200,StreetTraffic,04,-25
clip_0201,StreetTraffic,04,-20
clip_0202,StreetTraffic,04,-15
clip_0203,StreetTraffic,04,-10
clip_0204,StreetTraffic,05,-40
clip_0205,StreetTraffic,05,-35
clip_0206,StreetTraffic,05,-30
clip_0207,StreetTraffic,05,-25
clip_0208,StreetTraffic,05,-20
clip_0209,StreetTraffic,05,-15
clip_0210,StreetTraffic,05,-10
